"Dataset","N_syn","Method","Mean_Cov","SD_Cov","Mean_Width","SD_Width","Total_Time","Mean_Time","Experiment","Noise","N_cal","Score_Distribution","Shock_Probability"
"LogNormal",NA,"SCP",0.960845,0.0383876226237973,10.9082486704054,4.03972801100125,0.0199999999999818,0.000199999999999818,"Shock probability drift",NA,NA,NA,0.1
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.936605,0.0460167566647128,8.58832789223439,2.32640795209597,0.270000000000067,0.00270000000000067,"Shock probability drift",NA,NA,NA,0.1
"LogNormal",NA,"SCP",0.960845,0.0383876226237973,10.9082486704054,4.03972801100125,0.0199999999999818,0.000199999999999818,"Shock probability drift",NA,NA,NA,0.2
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.93109,0.0501163484687221,8.36768502972541,2.30467873885414,0.419999999999902,0.00419999999999902,"Shock probability drift",NA,NA,NA,0.2
"LogNormal",NA,"SCP",0.960845,0.0383876226237973,10.9082486704054,4.03972801100125,0.0199999999999818,0.000199999999999818,"Shock probability drift",NA,NA,NA,0.3
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.92965,0.0492431864742871,8.27415484224289,2.25725858671182,0.32000000000005,0.0032000000000005,"Shock probability drift",NA,NA,NA,0.3
"LogNormal",NA,"SCP",0.960845,0.0383876226237973,10.9082486704054,4.03972801100125,0.0199999999999818,0.000199999999999818,"Shock probability drift",NA,NA,NA,0.4
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.92598,0.0536226018982988,8.18937383867866,2.28072843924384,0.280000000000001,0.00280000000000001,"Shock probability drift",NA,NA,NA,0.4
"LogNormal",NA,"SCP",0.960845,0.0383876226237973,10.9082486704054,4.03972801100125,0.0199999999999818,0.000199999999999818,"Shock probability drift",NA,NA,NA,0.5
"LogNormal",NA,"RSA-CP (OT) (Ours)",0.926435,0.0538364364899776,8.19719525185996,2.26714381760505,0.389999999999958,0.00389999999999958,"Shock probability drift",NA,NA,NA,0.5
"Student-t",NA,"SCP",0.95415,0.0408046900156431,10.2678605035677,10.7184532439254,0.0600000000000307,0.000600000000000307,"Shock probability drift",NA,NA,NA,0
"Student-t",NA,"RSA-CP (OT) (Ours)",0.921335,0.0583432050088703,6.39143689943788,3.2993326405926,0.349999999999937,0.00349999999999937,"Shock probability drift",NA,NA,NA,0
"Student-t",NA,"SCP",0.95415,0.0408046900156431,10.2678605035677,10.7184532439254,0.0600000000000307,0.000600000000000307,"Shock probability drift",NA,NA,NA,0.1
"Student-t",NA,"RSA-CP (OT) (Ours)",0.922405,0.0611816592558009,6.74110028815979,4.24072504281135,0.439999999999969,0.00439999999999969,"Shock probability drift",NA,NA,NA,0.1
"Student-t",NA,"SCP",0.95415,0.0408046900156431,10.2678605035677,10.7184532439254,0.0600000000000307,0.000600000000000307,"Shock probability drift",NA,NA,NA,0.2
"Student-t",NA,"RSA-CP (OT) (Ours)",0.91802,0.0626115134473015,6.50411460261788,4.09606588870429,0.350000000000051,0.00350000000000051,"Shock probability drift",NA,NA,NA,0.2
"Student-t",NA,"SCP",0.95415,0.0408046900156431,10.2678605035677,10.7184532439254,0.0600000000000307,0.000600000000000307,"Shock probability drift",NA,NA,NA,0.3
"Student-t",NA,"RSA-CP (OT) (Ours)",0.915915,0.0631145365365398,6.31427265536581,3.29295378389479,0.349999999999966,0.00349999999999966,"Shock probability drift",NA,NA,NA,0.3
"Student-t",NA,"SCP",0.95415,0.0408046900156431,10.2678605035677,10.7184532439254,0.0600000000000307,0.000600000000000307,"Shock probability drift",NA,NA,NA,0.4
"Student-t",NA,"RSA-CP (OT) (Ours)",0.914365,0.0683181008521197,6.30240242796184,3.38109624759709,0.320000000000022,0.00320000000000022,"Shock probability drift",NA,NA,NA,0.4
"Student-t",NA,"SCP",0.95415,0.0408046900156431,10.2678605035677,10.7184532439254,0.0600000000000307,0.000600000000000307,"Shock probability drift",NA,NA,NA,0.5
"Student-t",NA,"RSA-CP (OT) (Ours)",0.914245,0.0675274540128276,6.29902924249271,3.51748499783141,0.309999999999917,0.00309999999999917,"Shock probability drift",NA,NA,NA,0.5
