figure,dataset,Method,alpha,target_coverage,n_cal,n_ref,n_test,run_id,run_seed,Coverage,Length,metric_name,method_core,qhat
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,1,6438288,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,1,6438288,0.9019333333333334,2.707533333333333,prediction_set_size,standard_reference,0.995801843568487
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,1,6438288,0.986,13.709133333333334,prediction_set_size,spi_fast_form,0.9999970513802754
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,1,6438288,0.9241333333333334,4.053,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,2,275592,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,2,275592,0.8982,2.5997333333333335,prediction_set_size,standard_reference,0.9950572056554131
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,2,275592,0.9602666666666667,7.51,prediction_set_size,spi_fast_form,0.9999192877007196
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,2,275592,0.9586666666666667,7.3742,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,3,2731692,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,3,2731692,0.8823333333333333,2.157,prediction_set_size,standard_reference,0.9900222946134286
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,3,2731692,0.9824666666666667,12.914666666666667,prediction_set_size,spi_fast_form,0.9999953978828906
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,3,2731692,0.9823333333333333,12.8358,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,4,1441594,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,4,1441594,0.905,2.6729333333333334,prediction_set_size,standard_reference,0.9955939261945743
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,4,1441594,0.971,9.4554,prediction_set_size,spi_fast_form,0.9999727407147511
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,4,1441594,0.9531333333333334,6.5868,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,5,7551662,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,5,7551662,0.9066666666666666,2.777066666666667,prediction_set_size,standard_reference,0.9961445687129538
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,5,7551662,0.9729333333333333,10.284266666666667,prediction_set_size,spi_fast_form,0.9999824829915102
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,5,7551662,0.8910666666666667,2.3118666666666665,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,6,4731878,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,6,4731878,0.9064,2.8192666666666666,prediction_set_size,standard_reference,0.9962886457849359
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,6,4731878,0.9406666666666667,5.5022,prediction_set_size,spi_fast_form,0.999701744919819
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,6,4731878,0.9251333333333334,4.087466666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,7,9486483,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,7,9486483,0.9118666666666667,2.9795333333333334,prediction_set_size,standard_reference,0.9970391196348027
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,7,9486483,0.9513333333333334,6.2956666666666665,prediction_set_size,spi_fast_form,0.9998288541844006
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,7,9486483,0.9512,6.284666666666666,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,8,857393,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,8,857393,0.8981333333333333,2.522466666666667,prediction_set_size,standard_reference,0.9944306018816217
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,8,857393,0.8985333333333333,2.5412,prediction_set_size,spi_fast_form,0.9945755197851596
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,8,857393,0.8724666666666666,2.0322666666666667,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,9,4233261,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,9,4233261,0.9058,2.856733333333333,prediction_set_size,standard_reference,0.9964347670742821
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,9,4233261,0.9676666666666667,8.8036,prediction_set_size,spi_fast_form,0.9999600558557984
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,9,4233261,0.8958,2.526133333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,10,9504621,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,10,9504621,0.8959333333333334,2.4708666666666668,prediction_set_size,standard_reference,0.9938913581795339
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,10,9504621,0.9732,9.804666666666666,prediction_set_size,spi_fast_form,0.9999768621010648
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,10,9504621,0.9484666666666667,6.121133333333334,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,11,5118207,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,11,5118207,0.8896666666666667,2.2536,prediction_set_size,standard_reference,0.9916468444780572
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,11,5118207,0.9976,27.5088,prediction_set_size,spi_fast_form,0.9999992845033506
Figure 5,ImageNet,RSA-CP (OT) (Ours),0.05,0.95,15,1000,15000,11,5118207,0.9762,10.529733333333333,prediction_set_size,rsa_cp_barycentric_ot_betabin,
Figure 5,ImageNet,SCP,0.05,0.95,15,1000,15000,12,8690244,1.0,30.0,prediction_set_size,standard_real,1.0
Figure 5,ImageNet,Synthetic-only,0.05,0.95,15,1000,15000,12,8690244,0.9022,2.6717333333333335,prediction_set_size,standard_reference,0.9955138321975258
Figure 5,ImageNet,SPI,0.05,0.95,15,1000,15000,12,8690244,0.9812666666666666,12.326133333333333,prediction_set_size,spi_fast_form,0.9999936148103509
